VEGMNT,GC,LULCNUM,LULC_Class,MNTNUM,MNTCLASS
11,GREEN,1,Forest,1,C1
12,GREEN,1,Forest,2,C2
13,GREEN,1,Forest,3,C3
14,GREEN,1,Forest,4,C4
15,GREEN,1,Forest,5,C5
16,GREEN,1,Forest,6,C6
21,GREEN,2,Grassland,1,C1
22,GREEN,2,Grassland,2,C2
23,GREEN,2,Grassland,3,C3
24,GREEN,2,Grassland,4,C4
25,GREEN,2,Grassland,5,C5
26,GREEN,2,Grassland,6,C6
31,GREEN,3,Cropland,1,C1
32,GREEN,3,Cropland,2,C2
33,GREEN,3,Cropland,3,C3
34,GREEN,3,Cropland,4,C4
35,GREEN,3,Cropland,5,C5
36,GREEN,3,Cropland,6,C6
41,GREEN,4,Wetland,1,C1
42,GREEN,4,Wetland,2,C2
43,GREEN,4,Wetland,3,C3
44,GREEN,4,Wetland,4,C4
45,GREEN,4,Wetland,5,C5
46,GREEN,4,Wetland,6,C6
51,NON GREEN,5,Settlement,1,C1
52,NON GREEN,5,Settlement,2,C2
53,NON GREEN,5,Settlement,3,C3
54,NON GREEN,5,Settlement,4,C4
55,NON GREEN,5,Settlement,5,C5
56,NON GREEN,5,Settlement,6,C6
61,NON GREEN,6,Otherland,1,C1
62,NON GREEN,6,Otherland,2,C2
63,NON GREEN,6,Otherland,3,C3
64,NON GREEN,6,Otherland,4,C4
65,NON GREEN,6,Otherland,5,C5
66,NON GREEN,6,Otherland,6,C6
